iter	Passed	Remaining
0	1	11197
1	1	9592
2	2	8423
3	3	7987
4	3	7837
5	5	8422
6	5	8463
7	7	9351
8	8	9672
9	9	9825
10	11	10015
11	12	10361
12	13	10463
13	14	10431
14	15	10202
15	16	10276
16	17	10187
17	18	10015
18	19	10170
19	20	10171
20	21	10037
21	22	9983
22	22	9853
23	23	9733
24	24	9631
25	25	9640
26	26	9635
27	26	9538
28	27	9462
29	28	9342
30	28	9269
31	29	9167
32	29	9060
33	30	8986
34	31	8896
35	31	8816
36	32	8738
37	32	8635
38	33	8537
39	34	8481
40	34	8408
41	35	8369
42	35	8327
43	36	8282
44	37	8202
45	37	8127
46	38	8088
47	38	8079
48	39	8040
49	40	7995
50	40	7973
51	41	7962
52	42	7931
53	43	7920
54	43	7844
55	43	7807
56	44	7794
57	45	7768
58	45	7734
59	46	7689
60	46	7644
61	47	7597
62	47	7549
63	48	7512
64	48	7467
65	49	7419
66	49	7379
67	50	7336
68	50	7308
69	51	7274
70	51	7240
71	52	7202
72	52	7172
73	53	7142
74	53	7135
75	54	7127
76	55	7101
77	55	7109
78	56	7078
79	56	7049
80	57	7019
81	57	6993
82	58	6983
83	58	6955
84	59	6928
85	60	6940
86	60	6926
87	61	6924
88	62	6919
89	62	6906
90	63	6886
91	63	6873
92	64	6864
93	64	6842
94	65	6821
95	65	6799
96	66	6776
97	66	6769
98	67	6747
99	67	6722
100	68	6704
101	68	6686
102	69	6666
103	69	6648
104	70	6630
105	70	6619
106	71	6634
107	72	6632
108	72	6623
109	73	6614
110	74	6603
111	74	6608
112	75	6607
113	76	6605
114	77	6663
115	78	6647
116	78	6627
117	78	6610
118	79	6601
119	79	6585
120	80	6571
121	81	6558
122	81	6542
123	82	6537
124	82	6534
125	83	6540
126	84	6539
127	84	6527
128	85	6517
129	85	6506
130	86	6507
131	86	6500
132	87	6492
133	88	6491
134	88	6479
135	89	6470
136	89	6465
137	90	6461
138	90	6453
139	91	6441
140	91	6429
141	92	6419
142	93	6413
143	93	6411
144	94	6400
145	94	6389
146	95	6379
147	95	6370
148	96	6361
149	96	6351
150	97	6339
151	97	6332
152	98	6325
153	98	6314
154	99	6309
155	99	6306
156	100	6304
157	101	6299
158	101	6293
159	102	6287
160	102	6279
161	103	6278
162	103	6275
163	104	6282
164	105	6274
165	105	6262
166	106	6250
167	106	6242
168	107	6236
169	107	6227
170	108	6219
171	108	6217
172	109	6220
173	110	6220
174	110	6214
175	111	6206
176	111	6202
177	112	6211
178	113	6206
179	113	6199
180	114	6191
181	114	6185
182	115	6175
183	115	6167
184	116	6161
185	116	6154
186	117	6151
187	117	6143
188	118	6145
189	119	6146
190	119	6138
191	120	6134
192	120	6129
193	121	6122
194	121	6119
195	122	6112
196	122	6103
197	123	6097
198	123	6091
199	124	6084
200	124	6077
201	125	6073
202	125	6065
203	126	6060
204	126	6053
205	127	6046
206	127	6042
207	128	6036
208	128	6031
209	129	6041
210	130	6036
211	130	6029
212	131	6024
213	131	6018
214	132	6012
215	132	6007
216	133	6005
217	133	6002
218	134	6006
219	135	6003
220	135	5999
221	136	6000
222	136	5996
223	137	5990
224	137	5985
225	138	5981
226	138	5975
227	139	5970
228	139	5970
229	140	5965
230	140	5961
231	141	5956
232	142	5953
233	142	5949
234	143	5942
235	143	5939
236	144	5934
237	144	5929
238	145	5924
239	145	5919
240	146	5921
241	146	5923
242	147	5924
243	148	5925
244	148	5924
245	149	5922
246	149	5920
247	150	5917
248	151	5920
249	151	5916
250	152	5912
251	152	5908
252	153	5904
253	153	5899
254	154	5895
255	154	5892
256	155	5887
257	155	5884
258	156	5879
259	156	5880
260	157	5885
261	158	5884
262	159	5887
263	159	5885
264	160	5881
265	160	5878
266	161	5875
267	161	5872
268	162	5866
269	162	5862
270	163	5857
271	163	5854
272	164	5852
273	164	5847
274	165	5844
275	165	5839
276	166	5840
277	167	5842
278	167	5846
279	168	5844
280	168	5840
281	169	5837
282	169	5833
283	170	5828
284	170	5823
285	171	5819
286	171	5817
287	172	5817
288	173	5818
289	173	5821
290	175	5842
291	175	5840
292	176	5842
293	177	5845
294	177	5852
295	178	5848
296	178	5844
297	179	5840
298	179	5836
299	180	5832
300	180	5829
301	181	5824
302	181	5820
303	182	5815
304	182	5814
305	183	5815
306	184	5813
307	184	5810
308	185	5811
309	185	5808
310	186	5803
311	186	5800
312	187	5796
313	187	5792
314	188	5790
315	188	5786
316	189	5783
317	189	5779
318	190	5776
319	190	5775
320	191	5772
321	191	5769
322	192	5764
323	193	5766
324	193	5763
325	194	5762
326	194	5760
327	195	5757
328	195	5753
329	196	5750
330	196	5746
331	197	5742
332	197	5740
333	198	5739
334	198	5740
335	199	5743
336	200	5750
337	201	5751
338	202	5756
339	202	5756
340	203	5755
341	203	5752
342	204	5746
343	204	5744
344	205	5742
345	205	5740
346	206	5739
347	206	5736
348	207	5733
349	208	5737
350	208	5734
351	209	5733
352	209	5731
353	210	5727
354	210	5727
355	211	5730
356	212	5730
357	212	5726
358	213	5723
359	213	5720
360	214	5720
361	215	5725
362	216	5737
363	217	5753
364	218	5762
365	219	5769
366	219	5768
367	220	5766
368	220	5764
369	221	5763
370	222	5763
371	222	5763
372	223	5766
373	224	5766
374	224	5765
375	225	5763
376	225	5761
377	226	5762
378	227	5763
379	227	5763
380	228	5765
381	229	5771
382	229	5770
383	230	5768
384	230	5767
385	231	5768
386	232	5766
387	232	5768
388	233	5769
389	234	5769
390	234	5770
391	235	5772
392	236	5770
393	236	5771
394	237	5771
395	237	5768
396	238	5773
397	239	5775
398	239	5774
399	241	5791
400	241	5791
401	242	5788
402	243	5788
403	243	5790
404	244	5787
405	244	5784
406	245	5787
407	246	5786
408	246	5785
409	247	5787
410	248	5786
411	248	5785
412	249	5784
413	249	5783
414	250	5783
415	251	5787
416	252	5791
417	252	5788
418	253	5788
419	253	5788
420	254	5785
421	254	5783
422	255	5786
423	256	5790
424	257	5795
425	257	5795
426	258	5794
427	259	5794
428	259	5793
429	260	5795
430	261	5796
431	261	5799
432	262	5794
433	262	5795
434	263	5793
435	264	5791
436	264	5782
437	264	5781
438	265	5780
439	266	5786
440	266	5785
441	267	5787
442	268	5788
443	269	5803
444	270	5802
445	270	5802
446	271	5802
447	272	5801
448	272	5802
449	273	5800
450	274	5801
451	274	5802
452	275	5801
453	275	5798
454	276	5796
455	276	5792
456	277	5789
457	277	5786
458	278	5786
459	278	5784
460	279	5785
461	280	5787
462	280	5787
463	281	5788
464	282	5791
465	283	5792
466	284	5798
467	284	5797
468	284	5789
469	285	5788
470	286	5787
471	286	5786
472	287	5786
473	287	5783
474	288	5781
475	288	5780
476	289	5777
477	289	5774
478	290	5771
479	291	5772
480	291	5771
481	292	5770
482	292	5768
483	293	5768
484	294	5769
485	294	5768
486	295	5770
487	296	5771
488	296	5771
489	297	5770
490	298	5771
491	298	5770
492	299	5776
493	300	5779
494	300	5778
495	301	5782
496	302	5783
497	303	5784
498	303	5783
499	304	5783
500	304	5781
501	305	5785
502	306	5784
503	306	5782
504	307	5780
505	307	5778
506	308	5778
507	309	5775
508	309	5773
509	310	5770
510	310	5771
511	311	5768
512	312	5771
513	312	5771
514	313	5774
515	314	5775
516	314	5774
517	315	5772
518	316	5779
519	317	5784
520	317	5783
521	318	5785
522	319	5784
523	319	5782
524	320	5780
525	320	5779
526	321	5782
527	322	5787
528	323	5792
529	324	5794
530	325	5797
531	325	5801
532	326	5800
533	327	5798
534	327	5799
535	328	5799
536	329	5798
537	329	5799
538	330	5798
539	330	5797
540	331	5797
541	332	5797
542	333	5800
543	333	5800
544	334	5801
545	334	5800
546	335	5799
547	336	5797
548	336	5793
549	337	5791
550	337	5789
551	338	5786
552	338	5783
553	339	5781
554	339	5779
555	340	5776
556	340	5773
557	341	5771
558	341	5769
559	342	5766
560	342	5767
561	343	5765
562	344	5767
563	344	5769
564	345	5769
565	346	5769
566	346	5767
567	347	5767
568	347	5765
569	348	5765
570	349	5767
571	349	5768
572	350	5767
573	351	5766
574	351	5764
575	352	5766
576	353	5767
577	353	5767
578	354	5767
579	355	5767
580	355	5765
581	356	5764
582	357	5768
583	357	5766
584	358	5767
585	358	5766
586	359	5768
587	360	5770
588	361	5773
589	362	5774
590	362	5773
591	363	5772
592	363	5774
593	364	5776
594	365	5780
595	366	5780
596	366	5778
597	367	5778
598	368	5776
599	368	5775
600	369	5772
601	369	5776
602	370	5777
603	371	5776
604	372	5777
605	372	5777
606	373	5778
607	374	5778
608	374	5781
609	378	5823
610	379	5827
611	379	5828
612	380	5832
613	381	5836
614	382	5840
615	383	5841
616	384	5845
617	385	5852
618	386	5854
619	389	5888
620	390	5892
621	391	5896
622	392	5907
623	393	5911
624	394	5914
625	395	5919
626	397	5937
627	398	5941
628	399	5957
629	401	5969
630	402	5970
631	403	5976
632	404	5980
633	405	5984
634	406	5996
635	407	6001
636	408	6003
637	409	6006
638	410	6012
639	411	6016
640	416	6084
641	417	6084
642	418	6087
643	419	6088
644	420	6092
645	420	6094
646	421	6093
647	422	6097
648	423	6097
649	429	6173
650	430	6179
651	431	6192
652	432	6197
653	434	6213
654	435	6214
655	436	6213
656	436	6211
657	437	6209
658	438	6208
659	438	6207
660	439	6206
661	440	6207
662	441	6217
663	442	6226
664	443	6226
665	444	6229
666	445	6230
667	446	6235
668	447	6236
669	447	6238
670	449	6252
671	450	6258
672	451	6261
673	452	6260
674	453	6259
675	453	6257
676	454	6256
677	455	6258
678	456	6260
679	456	6260
680	457	6258
681	457	6256
682	458	6253
683	459	6254
684	459	6255
685	460	6255
686	461	6254
687	461	6251
688	462	6251
689	463	6251
690	463	6250
691	464	6248
692	465	6246
693	465	6245
694	466	6245
695	467	6245
696	468	6246
697	468	6247
698	469	6248
699	470	6247
700	470	6247
701	472	6256
702	473	6265
703	474	6269
704	475	6275
705	476	6273
706	477	6272
707	477	6271
708	478	6270
709	479	6269
710	479	6267
711	480	6265
712	481	6266
713	481	6265
714	482	6265
715	483	6266
716	484	6267
717	484	6266
718	485	6268
719	486	6268
720	487	6270
721	488	6281
722	490	6289
723	490	6287
724	491	6285
725	492	6286
726	493	6289
727	493	6288
728	494	6287
729	495	6286
730	495	6286
731	496	6284
732	496	6282
733	497	6281
734	498	6279
735	498	6279
736	499	6279
737	500	6277
738	500	6275
739	501	6274
740	501	6272
741	502	6272
742	503	6272
743	504	6271
744	504	6270
745	505	6269
746	505	6266
747	506	6264
748	507	6264
749	507	6261
750	508	6259
751	508	6256
752	509	6253
753	509	6251
754	510	6248
755	510	6246
756	511	6244
757	511	6242
758	512	6239
759	512	6236
760	513	6233
761	513	6231
762	514	6228
763	515	6225
764	515	6227
765	516	6227
766	517	6225
767	517	6223
768	518	6220
769	519	6224
770	520	6230
771	521	6238
772	522	6240
773	523	6245
774	524	6247
775	525	6247
776	526	6244
777	526	6242
778	527	6240
779	527	6239
780	528	6237
781	528	6235
782	529	6235
783	530	6233
784	530	6230
785	531	6230
786	532	6228
787	532	6226
788	533	6223
789	533	6223
790	534	6223
791	536	6234
792	537	6236
793	538	6238
794	539	6240
795	539	6240
796	540	6236
797	540	6235
798	541	6234
799	541	6230
800	542	6228
801	542	6227
802	543	6225
803	544	6223
804	544	6221
805	545	6218
806	545	6216
807	546	6215
808	546	6213
809	547	6211
810	548	6209
811	548	6207
812	549	6204
813	549	6201
814	550	6198
815	550	6198
816	551	6203
817	552	6205
818	553	6206
819	554	6205
820	554	6203
821	555	6201
822	555	6199
823	556	6196
824	556	6193
825	557	6190
826	557	6187
827	558	6185
828	559	6187
829	559	6186
830	560	6186
831	561	6186
832	562	6184
833	562	6183
834	563	6185
835	564	6184
836	564	6182
837	565	6180
838	566	6180
839	566	6181
840	567	6185
841	568	6183
842	569	6183
843	569	6182
844	571	6188
845	571	6187
846	572	6185
847	573	6184
848	573	6182
849	574	6179
850	574	6179
851	575	6176
852	575	6173
853	576	6171
854	576	6168
855	577	6166
856	577	6163
857	578	6162
858	578	6160
859	579	6158
860	579	6155
861	580	6152
862	580	6150
863	581	6148
864	581	6146
865	582	6145
866	583	6145
867	584	6144
868	584	6143
869	585	6141
870	585	6138
871	586	6135
872	586	6134
873	587	6132
874	587	6129
875	588	6128
876	588	6125
877	589	6123
878	589	6121
879	590	6119
880	591	6118
881	591	6118
882	592	6116
883	592	6114
884	593	6112
885	594	6111
886	594	6108
887	595	6105
888	595	6105
889	596	6103
890	596	6100
891	597	6098
892	597	6096
893	598	6093
894	599	6094
895	599	6093
896	600	6092
897	600	6091
898	601	6090
899	602	6094
900	603	6094
901	604	6093
902	604	6092
903	605	6091
904	605	6090
905	606	6087
906	607	6086
907	607	6084
908	608	6082
909	608	6081
910	609	6079
911	609	6076
912	610	6074
913	611	6074
914	611	6074
915	612	6072
916	612	6070
917	613	6067
918	613	6064
919	614	6062
920	614	6060
921	615	6060
922	616	6059
923	616	6058
924	617	6056
925	617	6055
926	618	6053
927	619	6053
928	619	6051
929	620	6047
930	620	6046
931	621	6044
932	621	6042
933	622	6039
934	622	6037
935	623	6036
936	624	6035
937	624	6034
938	625	6032
939	625	6029
940	626	6027
941	626	6025
942	627	6023
943	627	6020
944	628	6018
945	628	6015
946	629	6013
947	629	6011
948	630	6009
949	630	6008
950	631	6006
951	631	6004
952	632	6003
953	632	6001
954	633	5999
955	634	5998
956	634	5997
957	635	5994
958	635	5993
959	636	5991
960	636	5988
961	637	5987
962	638	5989
963	639	5990
964	639	5988
965	640	5988
966	640	5987
967	641	5986
968	642	5985
969	642	5983
970	643	5983
971	644	5984
972	644	5983
973	645	5982
974	646	5981
975	646	5981
976	647	5980
977	648	5978
978	648	5978
979	649	5977
980	650	5976
981	650	5974
982	651	5972
983	651	5971
984	652	5969
985	652	5966
986	653	5964
987	653	5962
988	654	5960
989	654	5958
990	655	5956
991	655	5953
992	656	5952
993	656	5951
994	657	5951
995	658	5953
996	659	5951
997	659	5949
998	660	5947
999	660	5945
1000	661	5942
1001	661	5940
1002	661	5938
1003	662	5935
1004	663	5934
1005	663	5931
1006	663	5929
1007	664	5927
1008	664	5925
1009	665	5923
1010	665	5921
1011	666	5919
1012	667	5918
1013	667	5916
1014	668	5915
1015	668	5914
1016	669	5912
1017	669	5910
1018	670	5907
1019	671	5907
1020	671	5905
1021	672	5904
1022	672	5903
1023	673	5901
1024	673	5898
1025	674	5896
1026	674	5894
1027	675	5892
1028	675	5890
1029	676	5888
1030	676	5886
1031	677	5884
1032	677	5883
1033	678	5882
1034	679	5881
1035	679	5880
1036	680	5879
1037	680	5877
1038	681	5876
1039	681	5875
1040	682	5873
1041	683	5873
1042	683	5871
1043	684	5868
1044	684	5866
1045	685	5864
1046	685	5862
1047	686	5860
1048	686	5859
1049	687	5858
1050	687	5857
1051	688	5856
1052	689	5856
1053	689	5856
1054	690	5854
1055	691	5852
1056	691	5852
1057	692	5852
1058	693	5851
1059	693	5851
1060	694	5850
