iter	RMSE
0	0.3445282491
1	0.3077163903
2	0.2767212868
3	0.2536154703
4	0.2369059365
5	0.219130768
6	0.2064861214
7	0.1951665679
8	0.1861768297
9	0.1791841768
10	0.1746443025
11	0.1694208427
12	0.166324388
13	0.1617057951
14	0.1575523548
15	0.1545389818
16	0.1523577289
17	0.1496502423
18	0.1485913833
19	0.1464799117
20	0.1446247664
21	0.1441455809
22	0.1423085361
23	0.1411242213
24	0.1392981288
25	0.1381887445
26	0.1371244582
27	0.1361557764
28	0.1347496407
29	0.1335292285
30	0.1322808123
31	0.1313718399
32	0.130684003
33	0.1302047944
34	0.1285628843
35	0.1273258664
36	0.1259142399
37	0.1251070405
38	0.1236211697
39	0.1234906063
40	0.1224834133
41	0.1223090338
42	0.1218240038
43	0.1207348014
44	0.1206508343
45	0.1189430406
46	0.1185897431
47	0.1182666214
48	0.1175322929
49	0.1167090749
50	0.1166404913
51	0.1157334166
52	0.1156772342
53	0.1156139009
54	0.1155180063
55	0.1153607849
56	0.1151698602
57	0.1141016775
58	0.1140155543
59	0.1139203651
60	0.1138331399
61	0.1137956891
62	0.1137691549
63	0.1135103476
64	0.1130044348
65	0.1129821537
66	0.1128325682
67	0.1123597465
68	0.1122593782
69	0.1122329945
70	0.111707404
71	0.1104601047
72	0.1094749452
73	0.1084768676
74	0.108068398
75	0.1076874744
76	0.1070953395
77	0.1070259292
78	0.1062755224
79	0.1056606866
80	0.1054869341
81	0.1051658807
82	0.1043610385
83	0.1040548632
84	0.1040394886
85	0.1039994162
86	0.1036653322
87	0.1030500138
88	0.1028320692
89	0.1024920039
90	0.1023511339
91	0.1015723551
92	0.101370966
93	0.1008455576
94	0.1006628273
95	0.1003560191
96	0.100352782
97	0.09982284327
98	0.09978673545
99	0.09894880389
