iter	Passed	Remaining
0	2	270
1	5	262
2	8	290
3	11	285
4	14	272
5	16	262
6	18	251
7	20	239
8	22	232
9	26	237
10	28	233
11	31	232
12	34	230
13	36	225
14	38	220
15	42	220
16	44	218
17	47	216
18	49	212
19	52	208
20	54	205
21	58	206
22	60	203
23	63	201
24	65	197
25	67	193
26	70	190
27	74	190
28	77	189
29	79	186
30	81	182
31	84	178
32	86	175
33	88	171
34	92	171
35	95	170
36	97	166
37	100	164
38	103	162
39	106	159
40	109	158
41	113	156
42	116	154
43	119	152
44	122	149
45	124	146
46	126	142
47	128	139
48	131	136
49	134	134
50	136	131
51	140	129
52	142	126
53	144	123
54	147	120
55	149	117
56	152	115
57	154	112
58	157	109
59	159	106
60	162	104
61	165	101
62	167	98
63	170	95
64	172	92
65	175	90
66	177	87
67	180	85
68	183	82
69	185	79
70	187	76
71	191	74
72	193	71
73	196	68
74	198	66
75	200	63
76	202	60
77	205	57
78	207	55
79	211	52
80	214	50
81	216	47
82	218	44
83	221	42
84	224	39
85	226	36
86	229	34
87	232	31
88	234	28
89	237	26
90	239	23
91	242	21
92	245	18
93	247	15
94	250	13
95	253	10
96	255	7
97	257	5
98	260	2
99	263	0
