iter	Passed	Remaining
0	6	6248
1	7	3749
2	12	4184
3	18	4701
4	24	4798
5	25	4141
6	30	4265
7	35	4351
8	40	4414
9	42	4217
10	43	3910
11	48	4016
12	50	3845
13	56	3973
14	62	4100
15	67	4122
16	72	4185
17	85	4641
18	91	4745
19	97	4777
20	104	4869
21	110	4929
22	116	4942
23	119	4852
24	124	4856
25	129	4857
26	134	4849
27	140	4886
28	143	4802
29	150	4856
30	155	4866
31	162	4926
32	170	4984
33	175	4979
34	181	5016
35	187	5020
36	190	4959
37	198	5030
38	205	5075
39	215	5180
40	217	5094
41	225	5135
42	233	5189
43	238	5190
44	245	5211
45	250	5200
46	255	5187
47	261	5195
48	268	5203
49	273	5193
50	279	5197
51	285	5210
52	290	5194
53	295	5182
54	301	5183
55	307	5185
56	312	5175
57	318	5164
58	323	5166
59	328	5148
60	333	5132
61	338	5123
62	343	5104
63	348	5096
64	353	5091
65	359	5082
66	363	5064
67	369	5065
68	375	5060
69	379	5043
70	384	5028
71	390	5036
72	397	5042
73	402	5031
74	407	5026
75	411	5006
76	416	4996
77	424	5021
78	430	5019
79	435	5009
80	440	4996
81	445	4985
82	451	4984
83	456	4982
84	461	4965
85	466	4957
86	471	4947
87	476	4933
88	482	4934
89	487	4926
90	492	4916
91	497	4909
92	503	4908
93	508	4900
94	515	4912
95	524	4938
96	531	4945
97	536	4935
98	542	4939
99	548	4937
100	554	4937
101	560	4931
102	565	4927
103	570	4917
104	575	4904
105	580	4898
106	587	4899
107	591	4888
108	597	4881
109	602	4878
110	607	4868
111	613	4867
112	618	4853
113	623	4844
114	629	4843
115	634	4832
116	639	4828
117	644	4818
118	650	4816
119	655	4808
120	661	4804
121	666	4796
122	671	4788
123	676	4779
124	682	4775
125	686	4764
126	693	4765
127	698	4757
128	703	4752
129	709	4746
130	713	4735
131	718	4726
132	723	4715
133	728	4710
134	733	4702
135	740	4704
136	746	4699
137	751	4696
138	757	4694
139	764	4699
140	770	4695
141	776	4692
142	782	4691
143	788	4689
144	794	4686
145	800	4683
146	807	4684
147	813	4685
148	819	4682
149	826	4681
150	832	4681
151	840	4688
152	846	4688
153	852	4685
154	859	4685
155	865	4685
156	872	4683
157	879	4685
158	885	4686
159	891	4681
160	898	4681
161	905	4684
162	911	4682
163	917	4677
164	925	4681
165	930	4673
166	937	4675
167	944	4678
168	950	4673
169	956	4672
170	962	4664
171	967	4656
172	972	4648
173	977	4640
174	983	4635
175	988	4626
176	992	4614
177	997	4608
178	1003	4601
179	1008	4594
180	1013	4587
181	1019	4583
182	1025	4577
183	1030	4568
184	1035	4560
185	1040	4551
186	1045	4544
187	1051	4541
188	1056	4534
189	1061	4525
190	1066	4518
191	1071	4508
192	1076	4499
193	1080	4490
194	1085	4483
195	1090	4472
196	1095	4466
197	1101	4462
198	1105	4451
199	1111	4444
200	1116	4437
201	1122	4432
202	1128	4428
203	1133	4421
204	1137	4412
205	1143	4408
206	1148	4401
207	1154	4395
208	1159	4387
209	1164	4382
210	1170	4376
211	1187	4415
212	1222	4517
213	1254	4607
214	1264	4618
215	1273	4622
216	1281	4625
217	1291	4631
218	1299	4632
219	1305	4627
220	1310	4617
221	1314	4608
222	1320	4600
223	1325	4593
224	1331	4586
225	1337	4580
226	1342	4571
227	1348	4564
228	1352	4555
229	1358	4548
230	1364	4542
231	1370	4537
232	1375	4526
233	1381	4521
234	1387	4515
235	1392	4509
236	1397	4499
237	1402	4491
238	1408	4483
239	1413	4475
240	1419	4471
241	1425	4465
242	1432	4461
243	1436	4452
244	1442	4444
245	1447	4437
246	1452	4428
247	1457	4419
248	1462	4412
249	1469	4408
250	1475	4402
251	1480	4394
252	1487	4390
253	1491	4380
254	1496	4372
255	1501	4363
256	1506	4356
257	1512	4349
258	1517	4341
259	1522	4334
260	1527	4326
261	1532	4316
262	1537	4308
263	1543	4302
264	1549	4296
265	1554	4290
266	1559	4281
267	1565	4274
268	1571	4270
269	1575	4260
270	1581	4253
271	1586	4245
272	1591	4238
273	1596	4231
274	1601	4221
275	1606	4214
276	1611	4206
277	1617	4200
278	1622	4193
279	1628	4186
280	1632	4177
281	1638	4171
282	1643	4163
283	1649	4159
284	1655	4152
285	1661	4146
286	1666	4138
287	1672	4135
288	1678	4129
289	1682	4120
290	1688	4114
291	1694	4109
292	1699	4101
293	1704	4093
294	1710	4087
295	1715	4079
296	1720	4071
297	1725	4064
298	1731	4059
299	1739	4058
300	1748	4059
301	1755	4056
302	1764	4059
303	1769	4051
304	1778	4052
305	1786	4051
306	1794	4050
307	1803	4051
308	1813	4055
309	1822	4057
310	1832	4058
311	1844	4067
312	1853	4069
313	1867	4079
314	1882	4094
315	1890	4092
316	1899	4091
317	1906	4087
318	1915	4089
319	1922	4084
320	1933	4090
321	1943	4091
322	1954	4096
323	1967	4104
324	1979	4110
325	1991	4116
326	2003	4123
327	2015	4128
328	2019	4119
329	2029	4120
330	2035	4114
331	2043	4112
332	2048	4104
333	2054	4097
334	2061	4092
335	2070	4091
336	2078	4088
337	2083	4080
338	2092	4080
339	2103	4083
340	2109	4075
341	2114	4068
342	2120	4061
343	2125	4053
344	2130	4045
345	2136	4038
346	2141	4029
347	2146	4021
348	2152	4014
349	2157	4006
350	2162	3999
351	2167	3990
352	2172	3981
353	2178	3975
354	2187	3973
355	2195	3971
356	2200	3962
357	2205	3955
358	2211	3949
359	2217	3942
360	2222	3933
361	2227	3925
362	2232	3916
363	2238	3910
364	2243	3902
365	2248	3895
366	2253	3887
367	2259	3880
368	2264	3872
369	2269	3864
370	2274	3856
371	2279	3847
372	2285	3841
373	2290	3834
374	2295	3825
375	2300	3817
376	2306	3810
377	2310	3802
378	2315	3794
379	2322	3788
380	2327	3781
381	2332	3772
382	2337	3766
383	2342	3758
384	2347	3749
385	2352	3742
386	2358	3735
387	2362	3726
388	2368	3720
389	2373	3712
390	2379	3706
391	2385	3699
392	2390	3692
393	2395	3684
394	2399	3675
395	2404	3667
396	2410	3661
397	2415	3654
398	2420	3646
399	2426	3639
400	2430	3631
401	2436	3624
402	2441	3617
403	2447	3610
404	2452	3603
405	2458	3596
406	2463	3588
407	2468	3581
408	2472	3573
409	2477	3565
410	2484	3560
411	2489	3553
412	2495	3547
413	2500	3539
414	2505	3532
415	2510	3524
416	2515	3516
417	2520	3510
418	2525	3501
419	2530	3494
420	2537	3489
421	2544	3485
422	2549	3477
423	2554	3470
424	2561	3465
425	2571	3464
426	2577	3458
427	2582	3451
428	2587	3443
429	2592	3436
430	2597	3429
431	2602	3421
432	2609	3417
433	2615	3410
434	2620	3403
435	2625	3396
436	2630	3389
437	2637	3383
438	2642	3376
439	2647	3369
440	2652	3362
441	2657	3355
442	2663	3349
443	2667	3340
444	2673	3334
445	2678	3327
446	2684	3321
447	2690	3314
448	2696	3308
449	2701	3301
450	2705	3293
451	2712	3288
452	2717	3281
453	2721	3273
454	2727	3267
455	2732	3260
456	2737	3252
457	2743	3246
458	2748	3240
459	2754	3233
460	2759	3226
461	2765	3220
462	2770	3213
463	2775	3206
464	2781	3200
465	2787	3193
466	2793	3188
467	2799	3182
468	2806	3177
469	2811	3170
470	2816	3163
471	2823	3157
472	2827	3150
473	2832	3143
474	2837	3135
475	2842	3128
476	2848	3123
477	2854	3117
478	2863	3114
479	2868	3107
480	2874	3101
481	2879	3094
482	2884	3088
483	2890	3082
484	2896	3075
485	2902	3069
486	2907	3062
487	2912	3055
488	2917	3048
489	2923	3042
490	2928	3035
491	2934	3029
492	2939	3022
493	2943	3015
494	2949	3008
495	2953	3001
496	2959	2995
497	2964	2988
498	2970	2982
499	2976	2976
500	2985	2973
501	2990	2966
502	2995	2960
503	3001	2953
504	3006	2946
505	3011	2940
506	3018	2935
507	3023	2927
508	3027	2920
509	3032	2913
510	3038	2907
511	3044	2901
512	3049	2895
513	3055	2889
514	3062	2883
515	3067	2877
516	3072	2870
517	3077	2863
518	3082	2856
519	3088	2850
520	3092	2843
521	3098	2836
522	3103	2830
523	3108	2823
524	3112	2816
525	3117	2809
526	3122	2802
527	3127	2795
528	3132	2789
529	3137	2782
530	3143	2776
531	3148	2769
532	3153	2762
533	3159	2756
534	3165	2751
535	3171	2745
536	3176	2738
537	3181	2731
538	3186	2725
539	3191	2718
540	3196	2712
541	3201	2705
542	3207	2699
543	3212	2692
544	3217	2685
545	3224	2681
546	3230	2675
547	3236	2669
548	3241	2662
549	3247	2656
550	3252	2650
551	3257	2643
552	3263	2637
553	3267	2630
554	3273	2624
555	3278	2618
556	3283	2611
557	3290	2606
558	3296	2600
559	3301	2594
560	3306	2587
561	3312	2581
562	3317	2575
563	3322	2568
564	3329	2563
565	3334	2556
566	3339	2550
567	3345	2544
568	3351	2538
569	3358	2533
570	3364	2527
571	3369	2521
572	3375	2515
573	3379	2508
574	3385	2502
575	3392	2497
576	3399	2492
577	3408	2488
578	3414	2483
579	3421	2477
580	3426	2471
581	3431	2464
582	3438	2459
583	3445	2454
584	3452	2448
585	3460	2444
586	3464	2437
587	3474	2434
588	3480	2428
589	3488	2424
590	3495	2418
591	3502	2413
592	3511	2410
593	3518	2404
594	3526	2400
595	3533	2395
596	3541	2390
597	3546	2384
598	3555	2380
599	3561	2374
600	3568	2368
601	3573	2362
602	3578	2355
603	3585	2350
604	3589	2343
605	3594	2337
606	3600	2330
607	3606	2325
608	3611	2318
609	3616	2312
610	3622	2306
611	3627	2299
612	3632	2293
613	3637	2287
614	3643	2281
615	3651	2276
616	3656	2269
617	3662	2263
618	3668	2258
619	3674	2252
620	3680	2246
621	3686	2240
622	3692	2234
623	3698	2228
624	3703	2221
625	3709	2215
626	3715	2210
627	3721	2204
628	3725	2197
629	3731	2191
630	3737	2185
631	3743	2179
632	3747	2172
633	3753	2166
634	3760	2161
635	3765	2155
636	3770	2148
637	3777	2143
638	3781	2136
639	3787	2130
640	3792	2124
641	3797	2117
642	3802	2111
643	3809	2105
644	3815	2099
645	3819	2093
646	3824	2086
647	3830	2080
648	3835	2074
649	3840	2067
650	3846	2062
651	3852	2056
652	3857	2050
653	3863	2043
654	3868	2037
655	3873	2031
656	3879	2025
657	3884	2019
658	3890	2013
659	3895	2006
660	3900	2000
661	3906	1994
662	3912	1988
663	3916	1982
664	3922	1976
665	3928	1969
666	3934	1964
667	3939	1958
668	3944	1951
669	3949	1945
670	3955	1939
671	3960	1933
672	3966	1927
673	3972	1921
674	3977	1915
675	3982	1908
676	3988	1902
677	3993	1896
678	3999	1890
679	4004	1884
680	4010	1878
681	4015	1872
682	4020	1865
683	4025	1859
684	4031	1853
685	4036	1847
686	4042	1841
687	4046	1835
688	4052	1829
689	4058	1823
690	4064	1817
691	4069	1811
692	4075	1805
693	4082	1799
694	4087	1793
695	4093	1787
696	4098	1781
697	4102	1775
698	4108	1769
699	4113	1763
700	4119	1756
701	4123	1750
702	4129	1744
703	4133	1738
704	4139	1732
705	4145	1726
706	4149	1719
707	4155	1713
