iter	RMSE
0	10.83929842
1	9.757999662
2	8.787767087
3	7.915987945
4	7.131743525
5	6.421524785
6	5.78585897
7	5.213003853
8	4.69757687
9	4.231594376
10	3.812064137
11	3.436657016
12	3.097102438
13	2.792627547
14	2.517770095
15	2.270473878
16	2.049073893
17	1.849938886
18	1.669917053
19	1.509031561
20	1.364913637
21	1.235902353
22	1.120291329
23	1.014815593
24	0.920703698
25	0.838291284
26	0.7646804499
27	0.6995844778
28	0.6396838531
29	0.5858603876
30	0.5380931026
31	0.4956222326
32	0.4580792863
33	0.4230689011
34	0.3934587826
35	0.3700436197
36	0.3471734407
37	0.3268077557
38	0.3085870965
39	0.293557211
40	0.2802567209
41	0.2669315553
42	0.2564009301
43	0.2473802408
44	0.239486756
45	0.2319915526
46	0.2260592439
47	0.2207859686
48	0.2157184662
49	0.2107092132
50	0.2063171715
51	0.2019921664
52	0.1978702183
53	0.1948688825
54	0.1916456815
55	0.189103908
56	0.1858033403
57	0.1830261444
58	0.1811002999
59	0.1789408569
60	0.1772657305
61	0.1762353907
62	0.1752619622
63	0.1744364236
64	0.1732245497
65	0.1718016117
66	0.1703909573
67	0.1689697554
68	0.1679766622
69	0.1668726695
70	0.1655760377
71	0.1648057647
72	0.1639712249
73	0.1628885583
74	0.1622241497
75	0.1614138643
76	0.1605779363
77	0.1596355916
78	0.1588437673
79	0.1581578993
80	0.1572447103
81	0.1564672862
82	0.1558097622
83	0.1554907399
84	0.1543168288
85	0.1537950691
86	0.1532331071
87	0.1522730386
88	0.1522443361
89	0.1514168275
90	0.1512598186
91	0.1510387263
92	0.1499967415
93	0.1499672242
94	0.1493985488
95	0.1486963692
96	0.1482186281
97	0.1480400605
98	0.1479029189
99	0.1469846656
100	0.146179574
101	0.1455546166
102	0.1451515275
103	0.1450018413
104	0.144974801
105	0.1449682626
106	0.1440159994
107	0.1439085905
108	0.1438074992
109	0.1435350289
110	0.1431167444
111	0.1426174999
112	0.1426123198
113	0.1424013636
114	0.1418177331
115	0.1416127593
116	0.1411631939
117	0.1408170177
118	0.1402749524
119	0.1401687643
120	0.1399997841
121	0.1397305363
122	0.1396671682
123	0.1393136984
124	0.1393037966
125	0.1389977416
126	0.1386296782
127	0.1385776508
128	0.1378269621
129	0.1371960151
130	0.1369524459
131	0.1368655932
132	0.1366455033
133	0.1360457604
134	0.1354011372
135	0.1350341122
136	0.1347606754
137	0.1344853788
138	0.1343338502
139	0.1342189262
140	0.1337783846
141	0.133491849
142	0.1328978133
143	0.132741168
144	0.1321461759
145	0.1320369057
146	0.1318425799
147	0.1318246242
148	0.1317181702
149	0.1316453691
150	0.1316186988
151	0.131363271
152	0.1307951247
153	0.130535018
154	0.1300482694
155	0.1299269668
156	0.1299266265
157	0.1297266148
158	0.1294338779
159	0.1292298797
160	0.1291740431
161	0.1287084427
162	0.1282635849
163	0.1281409666
164	0.1274842702
165	0.1273161367
166	0.1268354294
167	0.1267946842
168	0.126733208
169	0.1265831288
170	0.1264783203
171	0.1261650129
172	0.1257023967
173	0.1255131804
174	0.1251512666
175	0.1249345376
176	0.1248888207
177	0.1245250044
178	0.1244305782
179	0.1243139477
180	0.1241288932
181	0.1236191131
182	0.1232694935
183	0.123157544
184	0.1229790758
185	0.1229195532
186	0.1226101156
187	0.1225698051
188	0.1225058522
189	0.122477453
190	0.122305441
191	0.1220631099
192	0.1216084538
193	0.1215691273
194	0.1211393413
195	0.1208028388
196	0.1206199746
197	0.1205466542
198	0.1204025068
199	0.1203958934
200	0.1203206275
201	0.1201020293
202	0.1199773236
203	0.1198846737
204	0.1196828915
205	0.1196541954
206	0.1195912364
207	0.1195871402
208	0.1194245242
209	0.1193262116
210	0.1191707494
211	0.1191570482
212	0.1191151909
213	0.1188706417
214	0.1185298696
215	0.1185104558
216	0.1183966628
217	0.1183564812
218	0.1181359778
219	0.1181229578
220	0.1180861159
221	0.1180109136
222	0.1177901755
223	0.1175914464
224	0.117505739
225	0.1172441112
226	0.1171850496
227	0.1166580086
228	0.116525982
229	0.1164430952
230	0.1163455477
231	0.1162159695
232	0.1160662484
233	0.1160608121
234	0.1156841425
235	0.1155630395
236	0.1154778096
237	0.1154491952
238	0.1152659873
239	0.1151240996
240	0.1150479392
241	0.1148384867
242	0.1146404698
243	0.1146105435
244	0.1143472809
245	0.1141449881
246	0.1138291736
247	0.1135517444
248	0.1133748404
249	0.1131401597
250	0.1130159938
251	0.1128850076
252	0.1128704832
253	0.1127975783
254	0.1125857787
255	0.1125087228
256	0.1123030219
257	0.1122693727
258	0.1120767988
259	0.1118240637
260	0.1117417265
261	0.1116834141
262	0.1115544864
263	0.1115430507
264	0.1115023226
265	0.1114398478
266	0.1113990463
267	0.1113779501
268	0.111134685
269	0.1109796157
270	0.1109442326
271	0.1108655833
272	0.110621446
273	0.1105788592
274	0.1104316941
275	0.1103978461
276	0.1102804959
277	0.1102505972
278	0.1101780015
279	0.1099481474
280	0.1098271544
281	0.109814385
282	0.1097248378
283	0.109670569
284	0.1095611382
285	0.1094549802
286	0.1092739708
287	0.1090715787
288	0.1088564367
289	0.1086803618
290	0.1086280166
291	0.1085538118
292	0.1084920377
293	0.1083977488
294	0.1083487066
295	0.1081142049
296	0.1080378725
297	0.1078741981
298	0.1077717958
299	0.1076745894
300	0.1076614238
301	0.1076532045
302	0.1076022732
303	0.1075079647
304	0.1074490389
305	0.1073793899
306	0.1073463102
307	0.1072967653
308	0.1072406906
309	0.1072090214
310	0.107088923
311	0.1068510555
312	0.1067560042
313	0.1066555659
314	0.1064814245
315	0.1062748347
316	0.1061015357
317	0.1060617679
318	0.1059881914
319	0.1059058276
320	0.1058186398
321	0.1057829896
322	0.1056699098
323	0.1056623554
324	0.1056265874
325	0.1055786825
326	0.1053914543
327	0.105367456
328	0.1052155988
329	0.105185476
330	0.1050576437
331	0.1050574084
332	0.105046493
333	0.1050246402
334	0.1049913893
335	0.1048033674
336	0.1047459342
337	0.1046958814
338	0.1045599723
339	0.1044228512
340	0.1041907055
341	0.1041382012
342	0.1038259319
343	0.1037768185
344	0.1037306914
345	0.1036577766
346	0.1035695132
347	0.1034134245
348	0.1033224066
349	0.1032227712
350	0.1031292316
351	0.1030954484
352	0.1029418383
353	0.1028432141
354	0.1028154381
355	0.102800883
356	0.1027272738
357	0.1026789203
358	0.1026725033
359	0.1026508743
360	0.1026475798
361	0.1026055427
362	0.1025312804
363	0.1024598854
