iter	RMSE
0	0.3887406629
1	0.3870681159
2	0.3853820469
3	0.3836583621
4	0.3819452501
5	0.3804051207
6	0.3788219607
7	0.377223326
8	0.3756722006
9	0.3741406159
10	0.372536
11	0.3709495241
12	0.3693363453
13	0.367897164
14	0.3664118205
15	0.3649147581
16	0.3633693251
17	0.3618697525
18	0.3604576674
19	0.358877658
20	0.3573630156
21	0.3558991393
22	0.354461432
23	0.3530371101
24	0.3516071373
25	0.3502508321
26	0.3488421105
27	0.3474846321
28	0.3460365494
29	0.3446865283
30	0.3432404431
31	0.3418278918
32	0.3404978117
33	0.3391315312
34	0.3378089645
35	0.3365057514
36	0.3351986604
37	0.3338997273
38	0.3325431987
39	0.3312888525
40	0.3299791979
41	0.3287695873
42	0.3276210371
43	0.3263470479
44	0.3251473274
45	0.3239369284
46	0.3226987595
47	0.321406747
48	0.3202026631
49	0.3189258467
50	0.3178253538
51	0.3165717425
52	0.3153521405
53	0.3142754884
54	0.3132419933
55	0.3121283803
56	0.3109348538
57	0.3097463974
58	0.30859591
59	0.3074516333
60	0.306271579
61	0.3051336391
62	0.3039323205
63	0.3028983037
64	0.3018052407
65	0.3007180446
66	0.2996233893
67	0.2985422398
68	0.2974777654
69	0.2963832305
70	0.2952583089
71	0.294262557
72	0.2931527256
73	0.2921350676
74	0.2910607968
75	0.2900780648
76	0.2890783178
77	0.2880862787
78	0.2870886334
79	0.2860253027
80	0.2850567641
81	0.2839711459
82	0.2830278112
83	0.2819951748
84	0.2809655924
85	0.2799663945
86	0.2790178904
87	0.2779979015
88	0.2769998571
89	0.2760502467
90	0.2750318804
91	0.2741995007
92	0.2732535124
93	0.2723332001
94	0.2713707974
95	0.2704257803
96	0.269475719
97	0.2686344023
98	0.2676805681
99	0.2667342363
100	0.2658919521
101	0.2650064352
102	0.2641996613
103	0.2633244419
104	0.2624038839
105	0.2615524198
106	0.2607112442
107	0.2598487983
108	0.2590037513
109	0.2581358107
110	0.2572942072
111	0.2564532839
112	0.2556049374
113	0.2548042056
114	0.2539238161
115	0.2531556815
116	0.2523600119
117	0.2515436259
118	0.2507409754
119	0.2499635312
120	0.2491469137
121	0.2484042148
122	0.2476180442
123	0.2468402798
124	0.2460577191
125	0.2452464468
126	0.2444843424
127	0.2437500779
128	0.2429877702
129	0.242269112
130	0.2415829308
131	0.2408459161
132	0.2401078417
133	0.2393841323
134	0.2386926954
135	0.2379829369
136	0.2372901991
137	0.2365993184
138	0.2359423808
139	0.2352838296
140	0.2346867753
141	0.2339899192
142	0.2332656721
143	0.2326300592
144	0.2319072683
145	0.2312701168
146	0.2305877841
147	0.2299297132
148	0.2292674722
149	0.2286359686
150	0.2279860961
151	0.2273155626
152	0.2267106093
153	0.2261076502
154	0.2255495368
155	0.2249161663
156	0.224328449
157	0.2236891019
158	0.2230753801
159	0.2225089007
160	0.2218934071
161	0.2213715607
162	0.2207897904
163	0.2201569889
164	0.2195341587
165	0.2189291399
166	0.2183292334
167	0.2177669322
168	0.217163064
169	0.2165949549
170	0.2160625263
171	0.2154504945
172	0.2148585826
173	0.2142314462
174	0.2136712438
175	0.2131211193
176	0.2125833896
177	0.2120228644
178	0.2114796943
179	0.2109798085
180	0.2104529063
181	0.2099304947
182	0.2094045612
183	0.2089389635
184	0.2084454564
185	0.2079551017
186	0.2074318336
187	0.2069818407
188	0.2064476733
189	0.2058670956
190	0.2053665676
191	0.204886971
192	0.2043651049
193	0.2038523012
194	0.2033291702
195	0.2028304236
196	0.2023745427
197	0.2018875317
198	0.2014074761
199	0.2009142136
200	0.2003970693
201	0.1999059501
202	0.1994185962
