iter	RMSE_SumError	RMSE_SumWeight
0	58.47943182	365
1	53.58283174	365
2	49.65488623	365
3	45.96580289	365
4	42.36797981	365
5	39.26066373	365
6	36.9883084	365
7	34.62316585	365
8	32.37059583	365
9	30.61471234	365
10	28.62228528	365
11	26.84382762	365
12	25.43701385	365
13	24.08966434	365
14	22.88752545	365
15	21.97298011	365
16	20.94242234	365
17	20.01646514	365
18	19.22068	365
19	18.58326584	365
20	17.83287001	365
21	17.08167468	365
22	16.53526524	365
23	16.07153536	365
24	15.588539	365
25	15.01352059	365
26	14.59700175	365
27	14.09724612	365
28	13.71499986	365
29	13.35548072	365
30	13.04465899	365
31	12.71860103	365
32	12.44243275	365
33	12.25511913	365
34	12.02845144	365
35	11.74337008	365
36	11.53122879	365
37	11.36866305	365
38	11.17764169	365
39	10.9876796	365
40	10.84832464	365
41	10.70238021	365
42	10.58247841	365
43	10.46443885	365
44	10.29571504	365
45	10.2002296	365
46	10.07040938	365
47	9.959663148	365
48	9.866117757	365
49	9.740913584	365
50	9.645570731	365
51	9.584060378	365
52	9.530266785	365
53	9.446475353	365
54	9.395390868	365
55	9.32382657	365
56	9.248070695	365
57	9.141267508	365
58	9.068594606	365
59	9.008440968	365
60	8.95321871	365
61	8.935413094	365
62	8.883064828	365
63	8.822567691	365
64	8.782426132	365
65	8.755091544	365
66	8.730476237	365
67	8.663296917	365
68	8.585287097	365
69	8.542696103	365
70	8.516070408	365
71	8.477367189	365
72	8.45229619	365
73	8.41438257	365
74	8.385345275	365
75	8.357804463	365
76	8.322098092	365
77	8.293896069	365
78	8.275613857	365
79	8.249600193	365
80	8.234723833	365
81	8.227709896	365
82	8.196865931	365
83	8.188726205	365
84	8.164741087	365
85	8.147591094	365
86	8.135494546	365
87	8.106566015	365
88	8.085635031	365
89	8.085077056	365
90	8.060738771	365
91	8.060463155	365
92	8.033814164	365
93	8.022401299	365
94	8.011962522	365
95	7.967914009	365
96	7.912721947	365
97	7.911643775	365
98	7.911452436	365
99	7.911343251	365
100	7.90379462	365
101	7.864080193	365
102	7.846067413	365
103	7.84678895	365
104	7.839957577	365
105	7.813776956	365
106	7.786714158	365
107	7.770867723	365
108	7.774461252	365
109	7.77613425	365
110	7.750918521	365
111	7.720846792	365
112	7.723681289	365
113	7.715893262	365
114	7.714249612	365
115	7.698740134	365
116	7.703099153	365
117	7.702321015	365
118	7.665600072	365
119	7.616545216	365
120	7.586127566	365
121	7.574065782	365
122	7.562592515	365
123	7.52822123	365
124	7.515707387	365
125	7.515340715	365
126	7.510012347	365
127	7.510646007	365
128	7.51177039	365
129	7.521437529	365
130	7.50091458	365
131	7.507877398	365
132	7.512443961	365
133	7.494211692	365
134	7.488938601	365
135	7.463792488	365
136	7.437166265	365
137	7.428828798	365
138	7.421740903	365
139	7.415316808	365
140	7.415111429	365
141	7.405679209	365
142	7.404087888	365
143	7.394546977	365
144	7.368500506	365
145	7.366489995	365
146	7.331290792	365
147	7.332024234	365
148	7.326203947	365
149	7.32552911	365
150	7.308086432	365
151	7.304760829	365
152	7.30954008	365
153	7.315153217	365
154	7.307001006	365
155	7.285241392	365
156	7.262196206	365
157	7.260867911	365
158	7.249945832	365
159	7.251797348	365
160	7.252080502	365
161	7.250093717	365
162	7.247779293	365
163	7.246800533	365
164	7.246693467	365
165	7.24439608	365
166	7.234649192	365
167	7.229419794	365
168	7.228869781	365
169	7.233657645	365
170	7.219011998	365
171	7.210573251	365
172	7.215961093	365
173	7.210099464	365
174	7.213293623	365
