iter	Passed	Remaining
0	5	502
1	6	323
2	10	341
3	12	288
4	14	270
5	15	241
6	16	218
7	17	206
8	18	189
9	19	178
10	20	169
11	21	160
12	22	153
13	24	147
14	25	142
15	26	137
16	26	130
17	27	124
18	28	119
19	28	115
20	29	111
21	30	108
22	32	108
23	33	105
24	35	105
25	37	106
26	38	104
27	39	102
28	41	100
29	42	98
30	43	96
31	44	93
32	44	90
33	45	87
34	45	84
35	46	83
36	47	81
37	49	79
38	49	77
39	50	76
40	51	74
41	52	72
42	53	70
43	54	69
44	55	67
45	56	66
46	57	65
47	58	63
48	59	61
49	59	59
50	60	57
51	60	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	70	45
61	71	43
62	71	42
63	72	40
64	72	39
65	72	37
66	74	36
67	74	35
68	75	33
69	76	32
70	76	31
71	77	30
72	77	28
73	78	27
74	78	26
75	79	24
76	79	23
77	79	22
78	80	21
79	80	20
80	81	19
81	81	17
82	82	16
83	82	15
84	83	14
85	83	13
86	83	12
87	84	11
88	84	10
89	85	9
90	86	8
91	86	7
92	87	6
93	88	5
94	89	4
95	89	3
96	90	2
97	91	1
98	91	0
99	92	0
